Title,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author,Number of Pages
"Fourth Wing (The Empyrean, 1)",1,4.8,135916,18.69,Fantasy,Entangled: Red Tower Books,Macmillan,Rebecca Yarros,528
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,2,4.8,120356,12.50,Personal Transformation,Avery,Avery,James Clear,320
"Iron Flame (The Empyrean, 2)",3,4.7,79851,14.78,Epic,Entangled: Red Tower Books,Kiligry,Rebecca Yarros,640
"Dinner Tonight: 100 Simple, Healthy Recipes for Every Night of the Week (A Defined Dish Book)",4,4.1,6,26.00,Natural Foods,William Morrow Cookbooks,,Alex Snodgrass,256
Oath and Honor: A Memoir and a Warning,5,4.8,3536,21.49,Political,"Little, Brown and Company",,Liz Cheney,384
The Heaven & Earth Grocery Store: A Novel,6,4.5,15178,16.99,Jewish,Riverhead Books,,James McBride,400
Icebreaker: A Novel (The Maple Hills Series),7,4.4,61258,10.44,Contemporary,Atria,,Hannah Grace,448
"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",8,4.5,8072,12.48,Trivia & Fun Facts,Red Panda Press,SEAJEA,Jordan Moore,198
Winter Turning: A Graphic Novel (Wings of Fire Graphic Novel #7) (Wings of Fire Graphix),9,5.0,1,10.39,Animals,Graphix,,Tui T. Sutherland,224
"Ruthless Vows (Letters of Enchantment, 2)",10,5.0,1,14.98,Romance,Wednesday Books,,Rebecca Ross,432
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",11,4.6,157620,9.99,Folklore,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,448
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,12,4.6,83306,8.50,State & Local,Penguin Publishing Group,Penguin Books,Daniel James Brown,404
The 48 Laws of Power,13,4.7,72160,12.20,Success,Penguin Books,Penguin Books,Robert Greene,452
2024 National Park Foundation Wall Calendar: 12-Month Nature Calendar & Photography Collection (Monthly Calendar),14,4.8,8693,10.04,History,Sourcebooks,Sourcebooks,Foundation National,24
Lessons in Chemistry: A Novel,16,4.6,250836,12.40,Cooking,Doubleday,,Bonnie Garmus,400
"Friends, Lovers, and the Big Terrible Thing: A Memoir",17,4.5,36900,17.94,Performing Arts,Flatiron Books,,Matthew Perry,272
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",18,4.7,45038,9.99,Motivational,Harriman House,Harriman House,Morgan Housel,256
The Creative Act: A Way of Being,19,4.7,5125,17.49,Creativity,Penguin Press,toyshi,Rick Rubin,432
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),20,4.6,78178,11.90,Difficult Discussions,Scholastic Press,Scholastic,Suzanne Collins,528
The Bible in 52 Weeks: A Yearlong Bible Study for Women,21,4.7,24089,7.69,Women's Issues,Rockridge Press,Rockridge Press,Dr. Kimberly D. Moore,208
The Housemaid,22,4.5,218634,7.99,Psychological,Grand Central Publishing,,Freida McFadden,336
"The Wager: A Tale of Shipwreck, Mutiny and Murder",23,4.5,18320,17.84,Murder & Mayhem,Doubleday,Readerlink,David Grann,352
Haunting Adeline (Cat and Mouse Duet),24,4.4,73892,13.00,Occult,Independently published,,H. D. Carlton,607
Heartstopper #5: A Graphic Novel,25,4.8,1176,11.64,Graphic Novels,Graphix,,Alice Oseman,336
Outlive: The Science and Art of Longevity,26,4.6,9939,16.00,Self-Help,Harmony,,Peter Attia MD,496
"Fourth Wing (Special Edition) (The Empyrean, 1)",27,4.4,2279,19.98,Fantasy,Entangled: Red Tower Books,,Rebecca Yarros,528
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,28,4.4,65158,9.11,Murder & Mayhem,Vintage,Vintage,David Grann,416
The Woman in Me,29,4.4,29923,19.20,Actors & Entertainers,Gallery Books,Britney Spears,Britney Spears,288
Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,30,4.9,7063,17.66,Cakes,DK,SPA SERENITY,B. Dylan Hollis,256
Taylor Swift: A Little Golden Book Biography,31,4.9,5363,4.78,Popular,Golden Books,LINGKU,Wendy Loggia,24
No Brainer (Diary of a Wimpy Kid Book 18),32,4.7,3249,8.22,Friendship,Harry N. Abrams,,Jeff Kinney,224
My First Library: Boxset of 10 Board Books for Kids,33,4.6,74704,14.88,Anxieties & Phobias,Wonder House Books,,Books Wonder,220
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",34,4.8,71720,10.19,Anxiety Disorders,Penguin Books,Penguin Books,Bessel van der Kolk M.D.,464
Disney Dreams Collection by Thomas Kinkade Studios: 2024 Wall Calendar,35,4.8,266,12.12,Performing Arts,Andrews McMeel Publishing,,Thomas Kinkade,24
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),36,4.7,111077,3.44,Personal Transformation,"Amber-Allen Publishing, Incorporated",Amber-Allen Publishing,Ruiz Don,160
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,37,4.7,93867,6.39,Personal Finance,Plata Publishing,toyshi,Robert T. Kiyosaki,336
"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",38,4.6,279,22.62,Church History,Harper,,Tim Alberta,512
"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",38,4.8,139273,12.79,Folklore,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,656
Prequel: An American Fight Against Fascism,39,4.7,2348,20.88,United States,Crown,,Rachel Maddow,416
The Far Side® 2024 Off-the-Wall Day-to-Day Calendar,40,4.9,444,13.49,Comic Strips,Andrews McMeel Publishing,,Gary Larson,640
Where's Bluey?: A Search-and-Find Book,41,4.8,5380,6.99,Coloring Books,Penguin Young Readers Licenses,,Licenses Penguin,32
The Covenant of Water (Oprah's Book Club),43,4.6,46500,12.99,Cultural Heritage,Grove Press,,Abraham Verghese,736
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,44,4.8,22086,8.48,Arts,Sourcebooks Explore,Sourcebooks Explore,Kids America,208
If He Had Been with Me,45,4.2,28494,7.27,Dating & Sex,Sourcebooks Fire,Sourcebooks Fire,Laura Nowlin,400
The Frozen River: A Novel,46,4.6,621,19.58,Historical,Doubleday,,Ariel Lawhon,448
Pretty Girls: A Novel,47,4.3,62750,7.98,Genre Fiction,William Morrow Paperbacks,William Morrow & Company,Karin Slaughter,432
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Thinking Books for Kids),48,4.6,31797,7.99,Activity Books,CreateSpace Independent Publishing Platform,CALOTO,M Prefontaine,79
Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians),49,4.7,4700,14.20,Action & Adventure,Disney Hyperion,,Rick Riordan,288
The Seven Husbands of Evelyn Hugo: A Novel,50,4.6,211113,6.09,Family Life,Atria Books,Washington Square Press,Taylor Jenkins Reid,400
"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",51,4.8,128317,11.56,Folklore,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,736
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",52,4.8,35906,16.23,Cooking Methods,Chronicle Books,Chronicle Books,Snoop Dogg,192
My Name Is Barbra,53,4.6,2092,30.56,Movie Directors,Viking,,Barbra Streisand,992
Harry Potter Paperback Box Set (Books 1-7),55,4.9,103150,29.45,School,Scholastic Inc.,Arthur A. Levine Books,Rowling J,
"Hunger Games 4-Book Paperback Box Set (the Hunger Games, Catching Fire, Mockingjay, the Ballad of Songbirds and Snakes)",56,4.9,3758,37.18,Difficult Discussions,Scholastic Inc.,,Suzanne Collins,2720
"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",57,4.8,22067,9.99,Farm Animals,PI Kids,P I Kids,Kids PI,24
"Twisted Love (Twisted, 1)",58,4.2,69568,10.59,United States,Bloom Books,,Ana Huang,352
Hunting Adeline (Cat and Mouse Duet),59,4.5,60210,17.32,Gothic,H. D. Carlton,,H. D. Carlton,669
Elon Musk,60,4.7,9122,17.50,Business,Simon & Schuster,,Walter Isaacson,688
The Screaming Goat (Book & Figure),61,4.7,35896,7.65,Cats,RP Minis,RP Minis,RP Minis,32
Verity,61,4.6,319253,6.48,Psychological Thrillers,Grand Central Publishing,,Winning Moves Games,336
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,62,4.6,759,18.85,Interpersonal Relations,Random House,GOODMI,Rose Publishing,320
Surrounded by Idiots (The Surrounded by Idiots Series),63,4.5,8537,12.39,Interpersonal Relations,Essentials,St. Martin's Essentials,Beach Kids,304
